FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
dfaerror;2;0;0;0;0;0;0
dfawarn;6;0;0;0;0;0;0
GEAcompile;266;1;0;0;0;8;0
regex_compile;51;2;1;0;0;72;64
EGexecute;323;4;3;0;0;41;33
pattern_file_name;24;0;0;0;0;0;0
input_filename;8;0;0;0;0;0;0
usage;45;0;0;0;0;0;0
fgrep_to_grep_pattern;67;1;1;0;0;8;8
main;1144;16;12;0;0;532;380
clean_up_stdout;6;0;0;0;0;0;0
hash_pattern;22;0;0;0;0;0;0
compare_patterns;24;0;0;0;0;0;0
setmatcher;33;0;0;0;0;0;0
update_patterns;88;0;0;0;0;0;0
grepdesc;999;3;2;0;0;304;288
grepfile;36;0;0;0;0;0;0
fillbuf;184;0;0;0;0;0;0
grepbuf;281;1;1;0;0;8;8
prline;254;1;1;0;0;8;8
print_filename;36;0;0;0;0;0;0
printf_errno;16;1;1;0;0;24;24
print_line_head;341;1;1;0;0;8;8
color_cap_mt_fct;3;0;0;0;0;0;0
color_cap_rv_fct;2;0;0;0;0;0;0
color_cap_ne_fct;3;0;0;0;0;0;0
Fcompile;70;1;0;0;0;8;0
Fexecute;217;4;3;0;0;64;56
kwsalloc;76;0;0;0;0;0;0
acexec;266;0;0;0;0;0;0
kwsincr;369;2;0;0;0;144;0
bmexec;442;0;0;0;0;0;0
kwswords;3;0;0;0;0;0;0
kwsprep;507;3;3;0;0;2312;2312
enqueue;19;0;0;0;0;0;0
treedelta;20;0;0;0;0;0;0
treefails;61;0;0;0;0;0;0
hasevery;30;0;0;0;0;0;0
treenext;19;0;0;0;0;0;0
kwsexec;4;0;0;0;0;0;0
kwsfree;5;0;0;0;0;0;0
to_uchar;1;0;0;0;0;0;0
mb_clen;12;0;0;0;0;0;0
wordinit;17;0;0;0;0;0;0
kwsinit;44;0;0;0;0;0;0
mb_goback;108;2;2;0;0;16;16
wordchars_size;50;2;2;0;0;12;12
wordchar_next;41;2;2;0;0;12;12
wordchar_prev;73;3;2;0;0;20;12
Pcompile;150;3;3;0;0;1212;1212
Pexecute;153;1;1;0;0;1200;1200
jit_exec;53;0;0;0;0;0;0
__argmatch_die;2;0;0;0;0;0;0
argmatch;42;0;0;0;0;0;0
argmatch_invalid;7;0;0;0;0;0;0
argmatch_valid;46;0;0;0;0;0;0
__xargmatch_internal;53;0;0;0;0;0;0
argmatch_to_argument;19;0;0;0;0;0;0
c_stack_action;38;2;2;0;0;176;176
null_action;1;0;0;0;0;0;0
segv_handler;38;0;0;0;0;0;0
die;42;1;1;0;0;4098;4098
c_strcasecmp;31;0;0;0;0;0;0
close_stdout_set_file_name;2;0;0;0;0;0;0
close_stdout_set_ignore_EPIPE;3;0;0;0;0;0;0
close_stdout;33;0;0;0;0;0;0
dfaparse;253;0;0;0;0;0;0
addtok_mb;73;0;0;0;0;0;0
lex;967;5;1;0;0;132;4
closure;1094;1;0;0;0;128;0
xpalloc;90;0;0;0;0;0;0
addtok;198;2;2;0;0;24;24
addtok_wc;42;2;2;0;0;24;24
nsubtoks;16;0;0;0;0;0;0
parse_bracket_exp;1090;14;11;0;0;241;44
dfaexec;4;0;0;0;0;0;0
dfasuperset;3;0;0;0;0;0;0
dfaisfast;4;0;0;0;0;0;0
dfasupported;20;0;0;0;0;0;0
dfacomp;300;0;0;0;0;0;0
dfaexec_sb;2;0;0;0;0;0;0
dfafree;160;0;0;0;0;0;0
dfaanalyze;2083;4;0;0;0;96;0
dfaexec_noop;2;0;0;0;0;0;0
merge_constrained;100;0;0;0;0;0;0
compare;10;0;0;0;0;0;0
state_index;210;0;0;0;0;0;0
dfaexec_main;518;3;2;0;0;16;8
realloc_trans_if_necessary;128;0;0;0;0;0;0
transit_state;324;1;1;0;0;4;4
build_state;1312;5;0;0;0;120;0
dfamust;864;0;0;0;0;0;0
enlist;67;0;0;0;0;0;0
freemust;31;0;0;0;0;0;0
dfamustfree;3;0;0;0;0;0;0
dfaalloc;3;0;0;0;0;0;0
dfasyntax;104;0;0;0;0;0;0
dfaexec_mb;2;0;0;0;0;0;0
dfacopysyntax;23;0;0;0;0;0;0
init_localeinfo;84;7;5;0;0;29;25
case_folded_counterparts;45;0;0;0;0;0;0
strip_trailing_slashes;10;0;0;0;0;0;0
exclude_add_pattern_buffer;12;0;0;0;0;0;0
fnmatch_pattern_has_wildcards;31;0;0;0;0;0;0
new_exclude;3;0;0;0;0;0;0
free_exclude;64;0;0;0;0;0;0
exclude_fnmatch;39;0;0;0;0;0;0
fnmatch_no_wildcards;42;0;0;0;0;0;0
excluded_file_name;123;0;0;0;0;0;0
add_exclude;210;0;0;0;0;0;0
string_hasher_ci;54;1;1;0;0;64;64
string_hasher;2;0;0;0;0;0;0
string_compare_ci;3;0;0;0;0;0;0
string_compare;3;0;0;0;0;0;0
string_free;2;0;0;0;0;0;0
add_exclude_fp;110;1;0;0;0;8;0
add_exclude_file;24;1;1;0;0;8;8
call_addfn;4;0;0;0;0;0;0
