FileName;FunctionName;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
llvm-link;dfaerror;0;0;0;0;0;0
llvm-link;llvm.dbg.value;0;0;0;0;0;0
llvm-link;error;0;0;0;0;0;0
llvm-link;dfawarn;0;0;0;0;0;0
llvm-link;getenv;0;0;0;0;0;0
llvm-link;GEAcompile;1;0;0;0;8;0
llvm-link;llvm.lifetime.start.p0i8;0;0;0;0;0;0
llvm-link;rawmemchr;0;0;0;0;0;0
llvm-link;memchr;0;0;0;0;0;0
llvm-link;llvm.memcpy.p0i8.p0i8.i64;0;0;0;0;0;0
llvm-link;regex_compile;2;1;0;0;72;64
llvm-link;exit;0;0;0;0;0;0
llvm-link;strcpy;0;0;0;0;0;0
llvm-link;strlen;0;0;0;0;0;0
llvm-link;free;0;0;0;0;0;0
llvm-link;abort;0;0;0;0;0;0
llvm-link;llvm.lifetime.end.p0i8;0;0;0;0;0;0
llvm-link;llvm.dbg.declare;0;0;0;0;0;0
llvm-link;llvm.memset.p0i8.i64;0;0;0;0;0;0
llvm-link;EGexecute;4;3;0;0;41;33
llvm-link;memrchr;0;0;0;0;0;0
llvm-link;llvm.dbg.label;0;0;0;0;0;0
llvm-link;pattern_file_name;0;0;0;0;0;0
llvm-link;input_filename;0;0;0;0;0;0
llvm-link;dcgettext;0;0;0;0;0;0
llvm-link;usage;0;0;0;0;0;0
llvm-link;fprintf;0;0;0;0;0;0
llvm-link;printf;0;0;0;0;0;0
llvm-link;fgrep_to_grep_pattern;1;1;0;0;8;8
llvm-link;main;16;12;0;0;532;380
llvm-link;setlocale;0;0;0;0;0;0
llvm-link;bindtextdomain;0;0;0;0;0;0
llvm-link;textdomain;0;0;0;0;0;0
llvm-link;clean_up_stdout;0;0;0;0;0;0
llvm-link;atexit;0;0;0;0;0;0
llvm-link;hash_pattern;0;0;0;0;0;0
llvm-link;compare_patterns;0;0;0;0;0;0
llvm-link;getopt_long;0;0;0;0;0;0
llvm-link;strcmp;0;0;0;0;0;0
llvm-link;setmatcher;0;0;0;0;0;0
llvm-link;update_patterns;0;0;0;0;0;0
llvm-link;fopen;0;0;0;0;0;0
llvm-link;__errno_location;0;0;0;0;0;0
llvm-link;fread_unlocked;0;0;0;0;0;0
llvm-link;fclose;0;0;0;0;0;0
llvm-link;puts;0;0;0;0;0;0
llvm-link;__fxstat;0;0;0;0;0;0
llvm-link;__xstat;0;0;0;0;0;0
llvm-link;isatty;0;0;0;0;0;0
llvm-link;wcrtomb;0;0;0;0;0;0
llvm-link;__ctype_toupper_loc;0;0;0;0;0;0
llvm-link;sysconf;0;0;0;0;0;0
llvm-link;grepdesc;3;2;0;0;304;288
llvm-link;grepfile;0;0;0;0;0;0
llvm-link;close;0;0;0;0;0;0
llvm-link;__fxstatat;0;0;0;0;0;0
llvm-link;lseek;0;0;0;0;0;0
llvm-link;fillbuf;0;0;0;0;0;0
llvm-link;grepbuf;1;1;0;0;8;8
llvm-link;prline;1;1;0;0;8;8
llvm-link;print_filename;0;0;0;0;0;0
llvm-link;__overflow;0;0;0;0;0;0
llvm-link;printf_errno;1;1;0;0;24;24
llvm-link;fflush_unlocked;0;0;0;0;0;0
llvm-link;splice;0;0;0;0;0;0
llvm-link;llvm.va_start;0;0;0;0;0;0
llvm-link;vfprintf;0;0;0;0;0;0
llvm-link;llvm.va_end;0;0;0;0;0;0
llvm-link;fputs_unlocked;0;0;0;0;0;0
llvm-link;print_line_head;1;1;0;0;8;8
llvm-link;fwrite_unlocked;0;0;0;0;0;0
llvm-link;llvm.memmove.p0i8.p0i8.i64;0;0;0;0;0;0
llvm-link;color_cap_mt_fct;0;0;0;0;0;0
llvm-link;color_cap_rv_fct;0;0;0;0;0;0
llvm-link;color_cap_ne_fct;0;0;0;0;0;0
llvm-link;Fcompile;1;0;0;0;8;0
llvm-link;Fexecute;4;3;0;0;64;56
llvm-link;kwsalloc;0;0;0;0;0;0
