FunctionName;NumInstructions;NumAllocaInvocations;NumEscapingAllocaInvocations;NumDynamicallySizedAllocaInvocations;NumDynamicallySizedEscapingAllocaInvocations;TotalStaticallyAllocatedStackMemory;TotalStaticallyAllocatedEscapingStackMemory
caml_init_stack;29;0;0;0;0;0;0
caml_realloc_stack;80;0;0;0;0;0;0
caml_ensure_stack_capacity;13;0;0;0;0;0;0
caml_change_max_stack_size;21;0;0;0;0;0;0
caml_stack_usage;17;0;0;0;0;0;0
caml_page_table_lookup;33;0;0;0;0;0;0
caml_page_table_initialize;58;0;0;0;0;0;0
caml_stat_calloc_noexc;36;0;0;0;0;0;0
caml_page_table_add;16;0;0;0;0;0;0
caml_page_table_modify;153;0;0;0;0;0;0
caml_page_table_remove;16;0;0;0;0;0;0
caml_alloc_for_heap;78;0;0;0;0;0;0
caml_stat_alloc_aligned_noexc;40;0;0;0;0;0;0
caml_free_for_heap;38;0;0;0;0;0;0
caml_stat_free;26;0;0;0;0;0;0
caml_add_to_heap;66;0;0;0;0;0;0
caml_shrink_heap;87;0;0;0;0;0;0
caml_allocation_color;10;0;0;0;0;0;0
caml_alloc_shr_with_profinfo;13;0;0;0;0;0;0
caml_alloc_shr_aux;180;0;0;0;0;0;0
caml_alloc_shr_for_minor_gc;13;0;0;0;0;0;0
caml_alloc_shr;13;0;0;0;0;0;0
caml_alloc_shr_no_track_noexc;2;0;0;0;0;0;0
caml_alloc_dependent_memory;8;0;0;0;0;0;0
caml_free_dependent_memory;5;0;0;0;0;0;0
caml_adjust_gc_speed;16;0;0;0;0;0;0
caml_initialize;41;0;0;0;0;0;0
caml_modify;68;0;0;0;0;0;0
caml_stat_create_pool;16;0;0;0;0;0;0
caml_stat_destroy_pool;20;0;0;0;0;0;0
caml_stat_alloc_noexc;28;0;0;0;0;0;0
caml_stat_alloc_aligned;46;0;0;0;0;0;0
caml_stat_alloc;35;0;0;0;0;0;0
caml_stat_resize_noexc;49;0;0;0;0;0;0
caml_stat_resize;54;0;0;0;0;0;0
caml_stat_strdup_noexc;34;0;0;0;0;0;0
caml_stat_strdup;34;0;0;0;0;0;0
caml_stat_strconcat;107;1;1;0;0;24;24
